"日本語リテラシー（’１６）", "2019年度2学期（72.7点）", "2019年度1学期（78.3点）", "基盤科目", "", "",
"初級簿記（’１６）", "2019年度2学期（67.7点）", "2019年度1学期（58.7点）", "コース科目", "専門科目", "社会と産業",
"市民自治の知識と実践（’１５）", "2019年度2学期（70.7点）", "2019年度1学期（71.2点）", "", "", "",
"自然科学はじめの一歩（’１５）", "2019年度2学期（76.8点）", "2019年度1学期（74.1点）", "", "", "",
"ファイナンス入門（’１７）", "2019年度2学期（62.3点）", "2019年度1学期（62.8点）", "コース科目", "専門科目", "社会と産業",
"英語事始め（’１７）", "2019年度2学期（70.1点）", "2019年度1学期（70.5点）", "基盤科目", "外国語科目", "",
"アジア産業論（’１７）", "2019年度2学期（80点）", "2019年度1学期（82.4点）", "コース科目", "専門科目", "社会と産業",
"情報学へのとびら（’１６）", "2019年度2学期（70.1点）", "2019年度1学期（80.5点）", "基盤科目", "", "",
"地域と都市の防災（’１６）", "2019年度2学期（78.5点）", "2019年度1学期（77.7点）", "コース科目", "専門科目", "社会と産業",
"英語で描いた日本（’１５）", "2019年度2学期（70.5点）", "2019年度1学期（70.3点）", "", "", "",
"物質・材料工学と社会（’１７）", "2019年度2学期（92.7点）", "2019年度1学期（93.7点）", "コース科目", "専門科目", "社会と産業",
"現代の内部監査（’１７）", "2019年度2学期（76.5点）", "2019年度1学期（62.8点）", "コース科目", "専門科目", "社会と産業",
"遠隔学習のためのパソコン活用（’１７）", "2019年度2学期（76.2点）", "2019年度1学期（73点）", "基盤科目", "", "",
"日本語アカデミックライティング（’１７）", "2019年度2学期（82.5点）", "2019年度1学期（89.3点）", "基盤科目", "", "",
"ＮＰＯマネジメント（’１７）", "2019年度2学期（57.6点）", "2019年度1学期（62.1点）", "コース科目", "専門科目", "社会と産業",
"都市・建築の環境とエネルギー（’１４）", "2019年度2学期（75.7点）", "2019年度1学期（75.8点）", "コース科目", "専門科目", "社会と産業",
"環境の可視化（’１５）", "2019年度2学期（76.6点）", "2019年度1学期（71.1点）", "コース科目", "専門科目", "社会と産業",
"権力の館を考える（’１６）", "2019年度2学期（71.1点）", "2019年度1学期（70.9点）", "コース科目", "総合科目", "社会と産業",
"社会学入門（’１６）", "2019年度2学期（80.9点）", "2019年度1学期（89.6点）", "コース科目", "導入科目", "社会と産業",
"世界の中の日本（’１５）", "2019年度2学期（74.8点）", "2019年度1学期（72.2点）", "コース科目", "総合科目", "",
"政治学へのいざない（’１６）", "2019年度2学期（67.8点）", "2019年度1学期（61.8点）", "コース科目", "導入科目", "社会と産業",
"環境と社会（’１５）", "2019年度2学期（63.8点）", "2019年度1学期（55.8点）", "コース科目", "総合科目", "",
"環境問題のとらえ方と解決方法（’１７）", "2019年度2学期（67.1点）", "2019年度1学期（60.1点）", "コース科目", "導入科目", "社会と産業",
"グローバル化と私たちの社会（’１５）", "2019年度2学期（90.6点）", "2019年度1学期（79.7点）", "", "", "",
"技術経営の考え方（’１７）", "2019年度2学期（71点）", "2019年度1学期（68.3点）", "コース科目", "導入科目", "社会と産業",
"新しい時代の技術者倫理（’１５）", "2019年度2学期（72.1点）", "2019年度1学期（71.1点）", "", "", "",
